year,month,avg_sst
2015,1,26.183925865
2015,2,26.365594883809525
2015,3,27.197316291904762
2015,4,27.899663902619046
2015,5,28.23204486190476
2015,6,27.751892487380953
2015,7,27.116471058809523
2015,8,26.85044012857143
2015,9,26.993606792380955
2015,10,27.36229963261905
2015,11,27.240397259999998
2015,12,27.069835356666665
2016,1,26.797666308333334
2016,2,26.71749251047619
2016,3,27.68304963047619
2016,4,28.257187714761905
2016,5,28.32897105738095
2016,6,27.550204401190477
2016,7,26.74791154809524
2016,8,26.456413945238094
2016,9,26.330023474047618
2016,10,26.57829013357143
2016,11,26.645530602619047
2016,12,26.42649728285714
2017,1,26.16715203738095
2017,2,26.300937755714287
2017,3,26.91111631238095
2017,4,27.530254388095237
2017,5,27.883273430714283
2017,6,27.47504725952381
2017,7,26.874549654523808
2017,8,26.642852033809522
2017,9,26.77815678857143
2017,10,26.94819726142857
2017,11,26.81693298142857
2017,12,26.234163943809524
2018,1,25.829461592619047
2018,2,26.271499662380954
2018,3,26.95994011309524
2018,4,27.619390090714287
2018,5,27.872478181666665
2018,6,27.34263771357143
2018,7,26.691118686904762
2018,8,26.33098060452381
2018,9,26.37154727
2018,10,26.703378219047618
2018,11,26.77593537047619
2018,12,26.59088299904762
2019,1,26.291728237857143
2019,2,26.53566869952381
2019,3,27.144075835
2019,4,27.952756769047618
2019,5,27.907468660714287
2019,6,27.611756761428573
2019,7,27.01925916333333
2019,8,26.55585203595238
2019,9,26.627263921666664
2019,10,27.071642488809523
2019,11,27.011987738333332
2019,12,26.695061569761908
2020,1,26.485390126190474
2020,2,26.450440125476188
2020,3,27.320959170476193
2020,4,27.898773441666666
2020,5,28.137923419285716
2020,6,27.674711538809525
2020,7,27.18478058404762
2020,8,26.740168697380952
2020,9,26.916135358095236
2020,10,27.117028220238094
2020,11,26.86407582952381
2020,12,26.32506633690476
2021,1,25.769823493809522
2021,2,26.364961560476193
2021,3,27.257742498571428
2021,4,27.821654388809524
2021,5,28.031149613809525
2021,6,27.49129724904762
2021,7,26.899571069761905
2021,8,26.555254414761905
2021,9,26.651866312857145
2021,10,26.786304395952378
2021,11,26.91223775857143
2021,12,26.59981633642857
2022,1,26.573263922380953
2022,2,26.414913943571428
2022,3,27.115197255714286
2022,4,27.926016284761904
2022,5,27.808630591904762
2022,6,27.41392820595238
2022,7,26.771954402380953
2022,8,26.408680609761902
2022,9,26.67663774
2022,10,26.745982979761905
2022,11,26.73076394761905
2022,12,26.451363957142856
2023,1,26.11667346595238
